time,strength,intensity,lane,centroidHz
1.5467,0.54,3,3,4505.7
1.7493,0.4611,2,2,3380.2
1.952,0.3715,2,1,2428.8
2.5493,0.3564,2,1,3051.8
2.752,0.3846,2,1,2376.1
2.9547,0.213,1,1,2668.2
3.3493,0.1865,1,0,2132.5
4.7467,0.5481,3,2,3989.4
4.9493,0.4801,2,2,3526.1
5.152,0.3901,2,1,2420.9
5.7493,0.3956,2,1,2934.4
5.952,0.3648,2,1,2335.8
6.1547,0.201,1,1,2684.7
6.3467,0.1874,1,1,2890.3
7.9467,0.5502,3,2,3764.4
8.1493,0.4511,2,2,3389.3
8.352,0.3912,2,1,2448.5
8.9493,0.3721,2,1,3034.7
9.152,0.3815,2,1,2384.9
9.3547,0.2155,1,1,2823.0
9.7493,0.1983,1,0,2020.5
11.1467,0.5385,3,2,3782.1
11.3493,0.4649,2,2,3392.6
11.552,0.3739,2,1,2445.2
12.1493,0.383,2,1,2868.5
12.352,0.3677,2,1,2440.0
12.5547,0.2117,1,1,2801.2
14.3467,0.5813,3,2,4235.9
14.5493,0.4898,2,1,3306.3
14.752,0.4082,2,1,2612.6
14.944,0.2832,2,1,3096.4
15.3493,0.4045,2,1,3279.1
15.552,0.4085,2,1,2713.4
15.744,0.2448,1,1,3289.9
15.9467,0.2241,1,2,3345.9
16.1493,0.2552,2,1,3105.6
16.448,0.2194,1,2,3325.5
16.6507,0.2233,1,1,3045.5
17.5467,0.5258,3,2,4109.2
17.7493,0.49,2,2,3758.6
17.952,0.3902,2,1,3105.6
18.144,0.3143,2,2,3863.7
18.3467,0.2371,1,2,3984.8
18.5493,0.4037,2,2,3817.8
18.752,0.3981,2,1,3307.0
18.944,0.2655,2,2,4335.6
19.1467,0.3007,2,2,4244.8
19.3493,0.2863,2,2,4247.1
19.648,0.2775,2,2,4278.2
19.9467,0.2357,1,3,4442.1
20.2453,0.2693,2,3,4718.1
20.448,0.2688,2,3,4430.5
20.7467,0.4778,2,3,4660.2
20.9493,0.5038,3,2,4197.0
21.152,0.3981,2,2,3923.7
21.344,0.3472,2,3,4713.7
21.5467,0.3411,2,3,4657.1
21.7493,0.4986,2,2,4370.2
21.952,0.4083,2,2,4037.4
22.144,0.3767,2,3,4562.3
22.3467,0.3392,2,3,4703.2
22.5493,0.4778,2,2,4356.8
22.752,0.3894,2,2,4164.2
22.944,0.3845,2,3,4585.1
23.1467,0.3684,2,3,4643.3
23.3493,0.4521,2,3,4434.9
23.552,0.3892,2,2,4372.1
23.744,0.3505,2,3,4737.8
23.9467,0.3884,2,3,4944.7
24.448,0.352,2,3,4580.7
