time,strength,intensity,lane,centroidHz
1.5467,0.54,3,3,4505.7
1.7493,0.4611,2,2,3380.2
1.8453,0.2705,2,1,2819.9
1.952,0.3715,2,1,2428.8
2.0587,0.1578,1,1,2382.0
2.144,0.2129,1,1,2751.3
2.24,0.187,1,0,2141.8
2.3573,0.1052,1,0,2008.5
2.4533,0.1621,1,0,2113.4
2.5493,0.3564,2,1,3051.8
2.6453,0.2398,1,1,2661.9
2.752,0.3846,2,1,2376.1
2.848,0.207,1,1,2247.9
2.9547,0.213,1,1,2668.2
3.1467,0.1275,1,0,2042.8
3.3493,0.1865,1,0,2132.5
3.552,0.1481,1,0,1949.8
3.648,0.1112,1,0,1775.3
3.7547,0.1031,1,0,1853.5
3.8507,0.1004,1,0,1755.5
3.9573,0.0786,1,0,2006.1
4.0533,0.0882,1,0,1846.7
4.1493,0.0795,1,0,1725.0
4.256,0.0976,1,0,1911.1
4.352,0.1533,1,0,1698.4
4.5547,0.1195,1,0,2024.0
4.7467,0.5481,3,2,3989.4
4.9493,0.4801,2,2,3526.1
5.0453,0.2911,2,1,2758.1
5.152,0.3901,2,1,2420.9
5.248,0.1495,1,0,2149.1
5.344,0.2026,1,1,2519.2
5.4507,0.1895,1,0,1925.4
5.5467,0.1177,1,0,1681.1
5.6533,0.1834,1,0,1848.7
5.7493,0.3956,2,1,2934.4
5.8453,0.2378,1,1,2563.2
5.952,0.3648,2,1,2335.8
6.048,0.1951,1,0,2129.6
6.1547,0.201,1,1,2684.7
6.3467,0.1874,1,1,2890.3
6.4427,0.1374,1,1,2946.9
6.5493,0.1759,1,1,3111.6
6.752,0.1236,1,1,2601.3
6.848,0.1561,1,1,3029.0
7.0507,0.132,1,1,2424.8
7.552,0.0865,1,0,1559.1
7.648,0.0799,1,0,1536.7
7.9467,0.5502,3,2,3764.4
8.1493,0.4511,2,2,3389.3
8.2453,0.2847,2,1,2677.3
8.352,0.3912,2,1,2448.5
8.544,0.2041,1,1,2624.7
8.64,0.1991,1,0,1869.7
8.7467,0.0996,1,0,1892.7
8.8533,0.1948,1,0,2064.4
8.9493,0.3721,2,1,3034.7
9.0453,0.2475,1,1,2664.8
9.152,0.3815,2,1,2384.9
9.248,0.1965,1,1,2271.2
9.3547,0.2155,1,1,2823.0
9.5467,0.1305,1,0,2022.4
9.7493,0.1983,1,0,2020.5
9.952,0.1466,1,0,2073.3
10.048,0.1115,1,0,1800.7
10.1547,0.0974,1,0,1761.5
10.2507,0.101,1,0,1732.0
10.3467,0.1149,1,0,2159.5
10.4533,0.1386,1,0,2090.9
10.6453,0.1126,1,0,1995.5
