time,strength,intensity,lane,centroidHz,duration,noteType
1.5467,0.54,3,3,4505.7,0.0,0
1.7493,0.4611,2,2,3380.2,0.0,0
1.952,0.3715,2,1,2428.8,0.0,0
2.144,0.2129,1,1,2751.3,0.0,0
2.5493,0.3564,2,1,3051.8,0.0,0
2.752,0.3846,2,1,2376.1,0.0,0
2.9547,0.213,1,1,2668.2,1.0,1
3.3493,0.1865,1,0,2132.5,0.0,0
3.552,0.1481,1,0,1949.8,0.68,1
3.9547,0.213,1,1,2668.2,0.0,2
4.232,0.1481,1,0,1949.8,0.0,2
4.352,0.1533,1,0,1698.4,0.0,0
4.7467,0.5481,3,2,3989.4,0.0,0
4.9493,0.4801,2,2,3526.1,0.0,0
5.152,0.3901,2,1,2420.9,0.0,0
5.344,0.2026,1,1,2519.2,0.0,0
5.7493,0.3956,2,1,2934.4,0.0,0
5.952,0.3648,2,1,2335.8,0.0,0
6.1547,0.201,1,1,2684.7,0.0,0
6.3467,0.1874,1,1,2890.3,0.0,0
6.5493,0.1759,1,1,3111.6,0.0,0
6.848,0.1561,1,1,3029.0,0.0,0
7.9467,0.5502,3,2,3764.4,0.0,0
8.1493,0.4511,2,2,3389.3,1.0,1
8.352,0.3912,2,1,2448.5,0.0,0
8.544,0.2041,1,1,2624.7,0.0,0
8.9493,0.3721,2,1,3034.7,0.0,0
9.1493,0.4511,2,2,3389.3,0.0,2
9.152,0.3815,2,1,2384.9,0.0,0
9.3547,0.2155,1,1,2823.0,1.0,1
9.5467,0.1305,1,0,2022.4,0.0,0
9.7493,0.1983,1,0,2020.5,0.0,0
9.952,0.1466,1,0,2073.3,0.0,0
10.3547,0.2155,1,1,2823.0,0.0,2
10.4533,0.1386,1,0,2090.9,0.0,0
11.1467,0.5385,3,2,3782.1,0.0,0
11.3493,0.4649,2,2,3392.6,0.0,0
11.552,0.3739,2,1,2445.2,0.0,0
11.744,0.1955,1,1,2678.8,0.0,0
12.1493,0.383,2,1,2868.5,0.0,0
12.352,0.3677,2,1,2440.0,0.0,0
12.5547,0.2117,1,1,2801.2,0.0,0
14.3467,0.5813,3,2,4235.9,1.0,1
14.5493,0.4898,2,1,3306.3,0.0,0
14.752,0.4082,2,1,2612.6,0.0,0
14.944,0.2832,2,1,3096.4,0.0,0
15.3467,0.5813,3,2,4235.9,0.0,2
15.3493,0.4045,2,1,3279.1,0.0,0
15.552,0.4085,2,1,2713.4,0.0,0
15.744,0.2448,1,1,3289.9,0.0,0
15.9467,0.2241,1,2,3345.9,0.0,0
16.1493,0.2552,2,1,3105.6,0.0,0
16.448,0.2194,1,2,3325.5,0.0,0
16.6507,0.2233,1,1,3045.5,0.0,0
17.152,0.2125,1,1,3204.1,0.0,0
17.5467,0.5258,3,2,4109.2,0.0,0
17.7493,0.49,2,2,3758.6,0.0,0
17.952,0.3902,2,1,3105.6,0.0,0
18.144,0.3143,2,2,3863.7,0.0,0
18.3467,0.2371,1,2,3984.8,0.0,0
18.5493,0.4037,2,2,3817.8,0.0,0
18.752,0.3981,2,1,3307.0,1.0,1
18.944,0.2655,2,2,4335.6,0.0,0
19.1467,0.3007,2,2,4244.8,0.0,0
19.3493,0.2863,2,2,4247.1,0.0,0
19.648,0.2775,2,2,4278.2,0.0,0
19.752,0.3981,2,1,3307.0,0.0,2
19.8507,0.2374,1,2,4089.2,0.0,0
20.2453,0.2693,2,3,4718.1,0.0,0
20.448,0.2688,2,3,4430.5,0.0,0
20.7467,0.4778,2,3,4660.2,0.4773,1
20.9493,0.5038,3,2,4197.0,0.0,0
21.152,0.3981,2,2,3923.7,0.0,0
21.224,0.4778,2,3,4660.2,0.0,2
21.344,0.3472,2,3,4713.7,0.0,0
21.5467,0.3411,2,3,4657.1,0.0,0
21.7493,0.4986,2,2,4370.2,0.0,0
21.952,0.4083,2,2,4037.4,0.4773,1
22.144,0.3767,2,3,4562.3,0.0,0
22.3467,0.3392,2,3,4703.2,0.0,0
22.4293,0.4083,2,2,4037.4,0.0,2
22.5493,0.4778,2,2,4356.8,0.0,0
22.752,0.3894,2,2,4164.2,0.0,0
22.944,0.3845,2,3,4585.1,0.0,0
23.1467,0.3684,2,3,4643.3,0.0,0
23.3493,0.4521,2,3,4434.9,0.0,0
23.552,0.3892,2,2,4372.1,0.0,0
23.744,0.3505,2,3,4737.8,0.0,0
23.9467,0.3884,2,3,4944.7,0.0,0
24.1493,0.3076,2,3,4729.3,0.0,0
24.2987,0.3088,2,3,4715.7,0.0,0
24.448,0.352,2,3,4580.7,0.0,0
24.6933,0.3133,2,3,4769.7,0.0,0
24.8427,0.3215,2,3,4739.6,0.0,0
25.1413,0.3223,2,3,4909.2,0.0,0
25.696,0.299,2,3,4900.7,0.0,0
25.8453,0.313,2,3,4912.9,0.0,0
25.9947,0.3462,2,3,4858.1,0.7333,1
26.728,0.3462,2,3,4858.1,0.0,2
26.848,0.3055,2,3,5963.6,0.0,0
26.9973,0.3596,2,3,5356.7,0.0,0
30.3467,0.2693,2,1,2619.3,0.0,0
30.5493,0.4818,2,2,3817.7,0.0,0
30.752,0.3161,2,1,2566.5,0.0,0
31.3493,0.3563,2,1,3170.4,0.0,0
31.552,0.3051,2,1,2491.8,0.0,0
31.7547,0.181,1,1,3148.6,0.0,0
31.9467,0.4354,2,3,4796.1,0.0,0
32.1493,0.496,2,3,4506.6,0.0,0
32.352,0.3751,2,2,4138.8,0.0,0
32.544,0.2824,2,3,5763.4,1.0,1
33.248,0.5961,3,2,4264.1,0.0,0
33.544,0.2824,2,3,5763.4,0.0,2
33.5467,0.8491,4,2,4334.5,0.0,0
33.7493,0.6608,3,2,4306.9,0.0,0
33.9413,0.5847,3,3,4549.1,0.0,0
34.144,0.6274,3,1,3009.9,0.68,1
